Designator,Mid X,Mid Y,Rotation,Layer
C1,216.027,-85.852,270.0,top
C2,189.865,-119.36,270.0,top
D1,148.082,-108.966,90.0,bottom
D2,167.132,-108.966,90.0,bottom
D3,186.182,-108.966,90.0,bottom
D4,148.082,-128.016,90.0,bottom
D5,167.132,-128.016,90.0,bottom
D6,186.182,-128.016,90.0,bottom
D7,186.182,-89.916,90.0,bottom
SW1,138.557,-104.394,0.0,top
SW2,157.607,-104.394,0.0,top
SW3,176.657,-104.394,0.0,top
SW4,138.557,-123.444,0.0,top
SW5,157.607,-123.444,0.0,top
SW6,176.657,-123.444,0.0,top
SW7,176.011,-87.543,0.0,top
U1,202.946,-106.172,0.0,top
